客戶,留言,星等,預設分類
客戶1,電話完全打不通，聯絡不上店家😤,1,負向評價
客戶2,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,4,正向評價
客戶3,第一次帶貓來這裡美容，美容師很細心！👍,5,正向評價
客戶4,Google評論寫很高，但實際去覺得普通。,4,中立評價
客戶5,店員臉超臭，一點都不熱情...,1,負向評價
客戶6,店裡貓咪都很chill，氣氛棒棒der,4,正向評價
客戶7,店裡貓咪都很chill，氣氛棒棒der,5,正向評價
客戶8,老闆娘超親切，還多送我一包試吃飼料❤️,5,正向評價
客戶9,這家超讚😍！我家狗狗超喜歡來洗澡的～,5,正向評價
客戶10,店員臉超臭，一點都不熱情...,2,負向評價
客戶11,東西蠻齊全的，但結帳速度有點慢。,4,中立評價
客戶12,Google評論寫很高，但實際去覺得普通。,4,中立評價
客戶13,空氣中有一股味道很重，不太舒服。,2,負向評價
客戶14,嗯...還可以啦，沒有想像中那麼好也不差。,4,中立評價
客戶15,東西蠻齊全的，但結帳速度有點慢。,4,中立評價
客戶16,客服有點冷淡😐，但東西都買得到。,4,中立評價
客戶17,超雷🙃🙃🙃 預約了還要等半小時，傻眼...,1,負向評價
客戶18,店員臉超臭，一點都不熱情...,1,負向評價
客戶19,第一次帶貓來這裡美容，美容師很細心！👍,5,正向評價
客戶20,東西蠻齊全的，但結帳速度有點慢。,4,中立評價
客戶21,說好的優惠沒給，還推卸責任 👎,2,負向評價
客戶22,嗯...還可以啦，沒有想像中那麼好也不差。,4,中立評價
客戶23,洗澡洗到耳朵紅腫，超級心疼😭,2,負向評價
客戶24,說好的優惠沒給，還推卸責任 👎,1,負向評價
客戶25,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,5,正向評價
客戶26,店裡貓咪都很chill，氣氛棒棒der,4,正向評價
客戶27,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,5,正向評價
客戶28,服務超慢又漏單，再也不會去了😡,2,負向評價
客戶29,電話完全打不通，聯絡不上店家😤,2,負向評價
客戶30,東西蠻齊全的，但結帳速度有點慢。,4,中立評價
客戶31,店員臉超臭，一點都不熱情...,1,負向評價
客戶32,超雷🙃🙃🙃 預約了還要等半小時，傻眼...,2,負向評價
客戶33,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,4,正向評價
客戶34,明明預約了卻說沒資料，超誇張。,2,負向評價
客戶35,明明預約了卻說沒資料，超誇張。,1,負向評價
客戶36,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,5,正向評價
客戶37,評價有點被高估，建議平常心去看待。,3,中立評價
客戶38,這家超讚😍！我家狗狗超喜歡來洗澡的～,5,正向評價
客戶39,洗澡洗到耳朵紅腫，超級心疼😭,2,負向評價
客戶40,店員臉超臭，一點都不熱情...,2,負向評價
客戶41,空氣中有一股味道很重，不太舒服。,2,負向評價
客戶42,洗澡洗到耳朵紅腫，超級心疼😭,1,負向評價
客戶43,店裡貓咪都很chill，氣氛棒棒der,5,正向評價
客戶44,東西蠻齊全的，但結帳速度有點慢。,3,中立評價
客戶45,超雷🙃🙃🙃 預約了還要等半小時，傻眼...,1,負向評價
客戶46,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,4,正向評價
客戶47,貓砂便宜但品質普通，建議看情況買。,3,中立評價
客戶48,沒什麼太大問題，就是等候時間久了點。,4,中立評價
客戶49,環境很乾淨，還有狗狗零食免費試吃，推推！,4,正向評價
客戶50,評價有點被高估，建議平常心去看待。,4,中立評價
客戶51,店員臉超臭，一點都不熱情...,2,負向評價
客戶52,超雷🙃🙃🙃 預約了還要等半小時，傻眼...,1,負向評價
客戶53,貓砂便宜但品質普通，建議看情況買。,3,中立評價
客戶54,價格實在，服務也不錯，下次還會再來～,5,正向評價
客戶55,洗澡洗到耳朵紅腫，超級心疼😭,1,負向評價
客戶56,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,4,正向評價
客戶57,說好的優惠沒給，還推卸責任 👎,2,負向評價
客戶58,東西蠻齊全的，但結帳速度有點慢。,4,中立評價
客戶59,貓砂便宜但品質普通，建議看情況買。,4,中立評價
客戶60,洗澡洗到耳朵紅腫，超級心疼😭,1,負向評價
客戶61,洗澡洗到耳朵紅腫，超級心疼😭,2,負向評價
客戶62,環境很乾淨，還有狗狗零食免費試吃，推推！,4,正向評價
客戶63,東西蠻齊全的，但結帳速度有點慢。,4,中立評價
客戶64,環境很乾淨，還有狗狗零食免費試吃，推推！,5,正向評價
客戶65,沒什麼太大問題，就是等候時間久了點。,4,中立評價
客戶66,這家超讚😍！我家狗狗超喜歡來洗澡的～,5,正向評價
客戶67,毛孩洗完澡一直抓癢，感覺洗劑不ok 😤,2,負向評價
客戶68,第一次帶貓來這裡美容，美容師很細心！👍,4,正向評價
客戶69,環境很乾淨，還有狗狗零食免費試吃，推推！,4,正向評價
客戶70,店員臉超臭，一點都不熱情...,1,負向評價
客戶71,店員臉超臭，一點都不熱情...,1,負向評價
客戶72,店裡貓咪都很chill，氣氛棒棒der,4,正向評價
客戶73,今天幫我家毛孩洗澡的是帥哥店員😆專業又有耐心,5,正向評價
客戶74,毛孩洗完澡一直抓癢，感覺洗劑不ok 😤,2,負向評價
客戶75,說好的優惠沒給，還推卸責任 👎,1,負向評價
客戶76,電話完全打不通，聯絡不上店家😤,2,負向評價
客戶77,第一次帶貓來這裡美容，美容師很細心！👍,5,正向評價
客戶78,價格實在，服務也不錯，下次還會再來～,4,正向評價
客戶79,店裡貓咪都很chill，氣氛棒棒der,4,正向評價
客戶80,空氣中有一股味道很重，不太舒服。,1,負向評價
